番号	枝番	分類	Title	URL	予測ポイント	やる/やらない	ポイント	予定時間	実績時間	イテレーション	Status	Assignees
		(BE)	日報保存 API 修正	https://github.com/ks-kentem/cloud-pm/issues/654			0.5	3.5	1.5	3	処理済み・Close	kentem-na-hasegawa
		(BE)	テーブル・モデル類追加	https://github.com/ks-kentem/cloud-pm/issues/1273			0.5	3.5	2	3	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 工事 ID 指定 取得 API 項目追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1274			1	7	5	3	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 工事 ID 指定 保存 API 項目追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1275			1.5	10.5	3.5	3	処理済み・Close	kentem-na-hasegawa
		(BE)	無災害労働時間 管理方法 調査・検討	https://github.com/ks-kentem/cloud-pm/issues/640			1	7	7.5	4	処理済み・Close	kentem-na-hasegawa
		(BE)	テーブル・モデル類追加	https://github.com/ks-kentem/cloud-pm/issues/641			0.5	3.5	2.5	4	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 工事 ID 指定 取得 API 項目追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/644			2	14	12	4	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 工事 ID 指定 保存 API 項目追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/645			2	14	8.5	4	処理済み・Close	kentem-na-hasegawa
		(BE)	Excel 帳票テンプレートの調整	https://github.com/ks-kentem/cloud-pm/issues/660			2	14	14	5	処理済み・Close	kentem-ak-iwabuchi
		(BE)	Excel 出力のモデル・DB からの取得・累計数量集計処理等の実装 - 1	https://github.com/ks-kentem/cloud-pm/issues/661			2	14	26.5	3	処理済み・Close	kentem-ak-iwabuchi
		(BE)	Excel 出力のモデル・DB からの取得・累計数量集計処理等の実装 - 2	https://github.com/ks-kentem/cloud-pm/issues/1395			1	7	8	5	処理済み・Close	kentem-ak-iwabuchi
		(BE)	Excel 出力の専用処理調整 - 1	https://github.com/ks-kentem/cloud-pm/issues/662			0.5	3.5	3	3	処理済み・Close	kentem-ak-iwabuchi
		(BE)	Excel 出力の専用処理調整 - 2	https://github.com/ks-kentem/cloud-pm/issues/1396			1.5	10.5	16.5	5	処理済み・Close	kentem-ak-iwabuchi
		(BE)	Excel → Html 出力処理実装 (A3 横, A4 縦フォーマット) - 1	https://github.com/ks-kentem/cloud-pm/issues/663			2	14	13.5	4	処理済み・Close	kentem-ak-iwabuchi
		(BE)	Excel → Html 出力処理実装 (A3 横, A4 縦フォーマット) - 2	https://github.com/ks-kentem/cloud-pm/issues/1397			1	7			未対応	kentem-ak-iwabuchi
		(BE)	出力レイアウト詳細設定（不確定要素：10％）	https://github.com/ks-kentem/cloud-pm/issues/664			1.5	10.5			未対応	kentem-ak-iwabuchi
		(BE)	テストケース実装 - 1	https://github.com/ks-kentem/cloud-pm/issues/665			1	7		5	未対応	kentem-ak-iwabuchi
		(BE)	テストケース実装 - 2	https://github.com/ks-kentem/cloud-pm/issues/1398			2	14			未対応	kentem-ak-iwabuchi
		(BE)	パフォーマンステスト	https://github.com/ks-kentem/cloud-pm/issues/666			1	7			未対応	kentem-ak-iwabuchi
		(BE)	一時保ファイル (.xlsx, .pdf) を定期的に削除するAPI	https://github.com/ks-kentem/cloud-pm/issues/668			1	7			破棄	
		(BE)	テーブル・モデル類追加	https://github.com/ks-kentem/cloud-pm/issues/1403			0.5	3.5		3	処理済み・Close	kentem-na-hasegawa
		(BE)	共通の初期値登録ロジックを実装 + テストケース修正	https://github.com/ks-kentem/cloud-pm/issues/1404			1	7		3	処理済み・Close	kentem-na-hasegawa
		(BE)	日報工種 単体追加 モデルにプロパティを追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1277		0	0.5	3.5		5	破棄	kentem-na-hasegawa
		(BE)	日報工種 単体更新 モデルにプロパティを追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1278		0	0.5	3.5		5	破棄	kentem-na-hasegawa
		(BE)	日報点検記録表 - 工事内容に紐付く日報点検記録表 (区分 / 項目) を取得 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1279			1.5	10.5	2.5	4	処理済み・Close	kentem-na-hasegawa
		(BE)	日報点検記録表 (区分 / 項目) PUT + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1280			1.5	10.5	4.5	4	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 打合せ事項 PUT + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1281			1	7	6.5	5	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 打合せ事項 GET + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1334		0	0.5	3.5		5	破棄	kentem-na-hasegawa
		(BE)	日報 安全巡視記録 複数取得 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1282			1	7	1.5	5	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 安全巡視記録 単体追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1283			1	7	0	5	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 安全巡視記録 単体更新 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1332			1	7	1.5	5	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 安全巡視記録 単体削除 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/1333			1	7	0	5	処理済み・Close	kentem-na-hasegawa
		(BE)	ConstructionDataModel にプロパティを追加 + テストケース修正	https://github.com/ks-kentem/cloud-pm/issues/1406			0.5	3.5	2.5	5	処理済み・Close	kentem-na-hasegawa
		(BE)	PostByConstructionId (json インポート) 修正	https://github.com/ks-kentem/cloud-pm/issues/1407			0.5	3.5	11.5	5	処理済み・Close	kentem-na-hasegawa
		(BE)	PostByConstructionIdAsync (パフォーマンス計測用) 修正	https://github.com/ks-kentem/cloud-pm/issues/1408			2	14	10	5	処理済み・Close	kentem-na-hasegawa
